Date,Aggregate,Business Impact,Environmental Impact,Societal Debate,Research
2003-01-01,0.670882204057993,0.724689068867301,0.634144141880852,0.522989413966284,0.540000683947405
2003-02-01,0.599650561417962,0.681382852108975,0.575126093117457,0.358989202262597,0.517911245512671
2003-03-01,0.405425681006373,0.374329257349018,0.454073874093443,0.402150670746541,0.322407209487848
2003-04-01,0.438446087618034,0.436445464450824,0.328511099318215,0.457463689832245,0.335116804273169
2003-05-01,0.375705958733203,0.414676134001529,0.294990737456805,0.344433877658637,0.262923438667815
2003-06-01,0.531266247204328,0.478519816386436,0.458983531498651,0.489624191158395,0.633375173732764
2003-07-01,0.474657380412992,0.43014633200799,0.418593161540467,0.435452107054648,0.554951086713661
2003-08-01,0.375098384746815,0.449915882082378,0.227101307925195,0.261995987974448,0.364298664010631
2003-09-01,0.601690037709038,0.535699565834034,0.789401742824068,0.328320378237261,0.404152246203994
2003-10-01,0.567786616878796,0.630275456006582,0.524756096648401,0.382778183921229,0.521132169419864
2003-11-01,0.268711664459532,0.353185112063453,0.423137025895603,0.221173576490199,0.334951969028551
2003-12-01,0.68307386171607,0.690883497590525,0.615828069307811,0.508011336560429,0.718452885338844
2004-01-01,0.557912912793773,0.489265535503232,0.630164612154891,0.449194597384767,0.540641569155294
2004-02-01,0.453189160504767,0.49570588835338,0.317932832168893,0.411293487051765,0.454615850186935
2004-03-01,0.505374317243536,0.417090418884324,0.518382491370184,0.43778558594351,0.537169443546595
2004-04-01,0.436345722709564,0.276915668183825,0.270707393664471,0.592792850590127,0.387135343180169
2004-05-01,0.883231191633321,0.573525183611175,0.944813611304601,0.953543543602185,0.843693924550913
2004-06-01,0.589089220493627,0.53139417481097,0.615954754516218,0.540464237215092,0.536584593037624
2004-07-01,0.625805978707822,0.530114220514442,0.622718159775756,0.640857084264379,0.649064457851179
2004-08-01,0.460240177639536,0.379894997096545,0.505754098891605,0.315791721611421,0.624842957692763
2004-09-01,0.523923763886446,0.514683250705249,0.512674738693128,0.44370644261626,0.518399456815889
2004-10-01,0.568741322365202,0.591382881369206,0.46131731293306,0.497326826030654,0.551850595812208
2004-11-01,0.6247215583747,0.522038863206233,0.685015406660052,0.431546309328768,0.813411065044067
2004-12-01,0.666420796015275,0.595373833004414,0.626621233066746,0.618802988695323,0.719427835354768
2005-01-01,0.765861607081774,0.669276789229803,0.742659607927369,0.803557441686818,0.653301579071095
2005-02-01,0.698166657855512,0.690107215457324,0.663000870851665,0.599320467695611,0.745781858107595
2005-03-01,0.485474569240733,0.466930987089205,0.411892226990202,0.487504817582172,0.418160303768737
2005-04-01,0.54153378217532,0.450264614836875,0.769490960656006,0.407003850714789,0.54428940832028
2005-05-01,0.442399514560613,0.441133055485427,0.41093973957406,0.377873737388267,0.408234022704743
2005-06-01,0.773123003781805,0.817452967893806,0.570805911937847,0.760580108366459,0.669788065008293
2005-07-01,0.905114004750931,0.90290331719075,0.788691622599439,0.904281806310441,0.731289158167058
2005-08-01,0.514177968573337,0.500949912848598,0.515011403137147,0.424430378374242,0.437059582893566
2005-09-01,0.725526339991753,0.607722251014807,0.844708728985591,0.643553033813591,0.69802548806134
2005-10-01,0.710697987472291,0.582117145420536,0.918023682130714,0.578871445680897,0.736834295082915
2005-11-01,0.471182784233384,0.461002289752052,0.43463391013121,0.394575586268279,0.470484198694082
2005-12-01,0.872151195376528,0.975026821832688,0.623699620661096,0.860350569560833,0.628072226746433
2006-01-01,0.628987753166752,0.473720577369553,0.736606806163449,0.644305603240936,0.633829624500416
2006-02-01,0.592681328741659,0.494201956165009,0.599608779361776,0.632041634516343,0.59425154111121
2006-03-01,0.650481298917864,0.508322107308651,0.687451603764189,0.616304678470389,0.698082535281929
2006-04-01,0.751099596726323,0.54552373382326,0.641964237244971,0.851026608223432,0.881431129341368
2006-05-01,0.754646082926251,0.619131463102156,0.671284221266416,0.835720263520782,0.741873189235769
2006-06-01,0.971268220065116,0.853932735332693,0.894043236656322,0.950415970160587,0.989685966311113
2006-07-01,0.801642481178102,0.630035843617558,0.995479546385451,0.591815898945484,0.856198850761177
2006-08-01,0.680801618057393,0.619893686270039,0.681962646354735,0.589476587342329,0.752924290906534
2006-09-01,0.809244596683892,0.814676789322215,0.593589368266281,0.870678781917743,0.812499364397124
2006-10-01,0.678994752748263,0.682390485319058,0.544628451172143,0.488864099408013,0.851522565597269
2006-11-01,1.04756228538832,1.04306622052148,0.92796409773455,0.834633277703205,1.13486527460788
2006-12-01,0.860754048571037,0.672339133915064,0.984951970245627,0.835987110558689,0.784585397712788
2007-01-01,1.22467169122376,1.14344992386828,1.12688164279656,1.27433227778144,1.1696924377202
2007-02-01,1.30698129911687,1.19014002828186,1.1052998849981,1.13607974252341,1.59896597568728
2007-03-01,1.11140100957609,1.05373142323349,1.0455324418902,1.07563201258582,0.996659644957656
2007-04-01,1.7164728450635,1.48375867460183,1.65753525812542,1.60481046475758,1.81198354393836
